simulation,period,variable,risk,value
1,8,returns,Real Estate,0.16753054923909383
1,8,contributions,,0.0
1,8,withdrawals,,50000.0
1,8,availableCash,,37629.20371944457
1,8,cashBuffer,,150000.0
1,8,cashDepletion,,50000.0
1,8,shortfall,,0.0
1,8,cashReplenishment,,4432.84896265564
1,8,financialGainLoss,,4432.84896265564
1,9,ptf_bop,Cash,42062.05268210021
1,9,ptf_bop,Real Estate,98420.56290949002
1,9,ptf_bop,Precious Metals,24605.140727372505
1,9,ptf_bop,Bonds,147630.844364235
1,9,ptf_bop,Crypto,24605.140727372505
1,9,ptf_bop,Stocks,196841.12581898004
1,9,ptf_eop,Cash,0.0
1,9,ptf_eop,Real Estate,86747.72649859941
1,9,ptf_eop,Precious Metals,18611.927620172446
1,9,ptf_eop,Bonds,153439.05471166834
1,9,ptf_eop,Crypto,15168.95960063078
1,9,ptf_eop,Stocks,208160.46090619694
1,9,ptf1,Cash,0.0
1,9,ptf1,Real Estate,98420.56290949002
1,9,ptf1,Precious Metals,24605.140727372505
1,9,ptf1,Bonds,139692.89704633522
1,9,ptf1,Crypto,24605.140727372505
1,9,ptf1,Stocks,196841.12581898004
1,9,ptf2,Cash,0.0
1,9,ptf2,Real Estate,96832.97344591004
1,9,ptf2,Precious Metals,24208.24336147751
1,9,ptf2,Bonds,145249.46016886507
1,9,ptf2,Crypto,24208.24336147751
1,9,ptf2,Stocks,193665.9468918201
1,9,ptf3,Cash,0.0
1,9,ptf3,Real Estate,86747.72649859941
1,9,ptf3,Precious Metals,18611.927620172446
1,9,ptf3,Bonds,153439.05471166834
1,9,ptf3,Crypto,15168.95960063078
1,9,ptf3,Stocks,208160.46090619694
1,9,ptf4,Cash,0.0
1,9,ptf4,Real Estate,86747.72649859941
1,9,ptf4,Precious Metals,18611.927620172446
1,9,ptf4,Bonds,153439.05471166834
1,9,ptf4,Crypto,15168.95960063078
1,9,ptf4,Stocks,208160.46090619694
1,9,ptf5,Cash,0.0
1,9,ptf5,Real Estate,86747.72649859941
1,9,ptf5,Precious Metals,18611.927620172446
1,9,ptf5,Bonds,153439.05471166834
1,9,ptf5,Crypto,15168.95960063078
1,9,ptf5,Stocks,208160.46090619694
1,9,returns,Cash,0.0
1,9,returns,Money Market,-0.008507161848056935
1,9,returns,Bonds,0.05638296027594289
1,9,returns,Stocks,0.07484286343057182
1,9,returns,Crypto,-0.37339693037087157
1,9,returns,Precious Metals,-0.23117397069010223
1,9,returns,Real Estate,-0.1041509579683015
1,9,contributions,,0.0
1,9,withdrawals,,50000.0
1,9,availableCash,,0.0
1,9,cashBuffer,,150000.0
1,9,cashDepletion,,42062.05268210021
1,9,shortfall,,7937.947317899787
1,9,cashReplenishment,,0
1,9,financialGainLoss,,-2036.7378922823118
1,10,ptf_bop,Cash,0.0
1,10,ptf_bop,Real Estate,86747.72649859941
1,10,ptf_bop,Precious Metals,18611.927620172446
1,10,ptf_bop,Bonds,153439.05471166834
1,10,ptf_bop,Crypto,15168.95960063078
1,10,ptf_bop,Stocks,208160.46090619694
1,10,ptf_eop,Cash,55252.29473429633
1,10,ptf_eop,Real Estate,86425.6258674536
1,10,ptf_eop,Precious Metals,21606.4064668634
1,10,ptf_eop,Bonds,129638.43880118038
1,10,ptf_eop,Crypto,21606.4064668634
1,10,ptf_eop,Stocks,172851.2517349072
1,10,ptf1,Cash,0.0
1,10,ptf1,Real Estate,86747.72649859941
1,10,ptf1,Precious Metals,18611.927620172446
1,10,ptf1,Bonds,103439.05471166834
1,10,ptf1,Crypto,15168.95960063078
1,10,ptf1,Stocks,208160.46090619694
1,10,ptf2,Cash,0.0
